nome_deputado,siglaPartido,siglaUf,txtDescricao,vlrLiquido,txtFornecedor,cnpjCpfFornecedor,datEmissao
Diana Almeida,PP,PE,Serviços de recepção e atendimento,5500.00,Recepciona Bem Ltda,22333444000112,2024-02-16
Eduardo Barbosa,PDT,GO,Consultoria em gestão ambiental,4400.75,Eco Consultoria Verde,33444555000123,2024-01-19
Fabiana Dias,PSDB,DF,Locação de notebook e tablets,3300.00,Tech Equipamentos,44555666000134,2024-03-26
Gabriel Rocha,PT,SC,Serviços de fotografia profissional,2200.30,Foto Studio Premium,55666777000145,2024-02-24
Helena Nunes,MDB,PR,Assessoria em compliance,1850.00,Compliance & Ética SA,66777888000156,2024-01-21
Igor Pereira,PSOL,RJ,Locação de impressoras multifuncionais,1650.50,Print Solutions Ltda,77888999000167,2024-03-28
Julia Castro,PP,SP,Serviços de encadernação e acabamento,1450.00,Encaderna Bem,88999000000178,2024-02-28
Kevin Moreira,PDT,MG,Consultoria em inovação tecnológica,1250.75,Inova Tech Consultoria,99000111000189,2024-01-23
Laura Cardoso,PSDB,BA,Locação de central telefônica,1050.00,Telefonia Corporativa,11222333000190,2024-03-30
Miguel Santos,PT,CE,Serviços de copiadora e reprografia,850.30,Copy Center Express,22333444000101,2024-02-19
Nina Lima,MDB,RS,Assessoria em sustentabilidade,650.00,Sustenta Consultoria,33444555000112,2024-01-27
